id,year,stock,between,out_degree,in_degree,oil,inv,l,open,oilout_degree,oilin_degree,oilbetween
18,2010,-0.0306,24.3500,3.0000,18.0000,0.1410,0.2130,0.2637,0.0000,0.4231,2.5386,3.4341
18,2011,-0.1904,30.7119,6.0000,15.0000,0.0784,0.2210,0.2600,0.0000,0.4702,1.1756,2.4070
18,2012,0.2065,21.9972,5.0000,17.0000,-0.0736,0.2265,0.2551,0.0000,-0.3679,-1.2507,-1.6184
18,2013,0.4493,83.5957,5.0000,17.0000,0.0694,0.2319,0.2491,0.0000,0.3471,1.1800,5.8027
18,2014,0.0688,27.6357,6.0000,16.0000,-0.6139,0.2388,0.2495,0.0000,-3.6832,-9.8219,-16.9648
18,2015,0.0868,24.0000,7.0000,14.0000,-0.3634,0.2390,0.2504,0.0000,-2.5436,-5.0872,-8.7210
18,2016,0.0042,30.7833,4.0000,17.0000,0.3718,0.2335,0.2515,0.0000,1.4871,6.3204,11.4448
18,2017,0.1748,0.0000,0.0000,12.0000,0.1175,0.2335,0.2515,0.0000,0.0000,1.4104,0.0000
19,2008,-0.9827,68.0000,9.0000,1.0000,-0.7213,0.2751,0.5348,0.9429,-6.4920,-0.7213,-49.0507
19,2009,0.5874,0.0000,8.0000,0.0000,0.5763,0.2941,0.5327,0.7577,4.6101,0.0000,0.0000
19,2010,-0.0288,27.0000,4.0000,1.0000,0.1410,0.2537,0.5342,0.7414,0.5641,0.1410,3.8079
19,2011,-0.4408,0.0000,6.0000,0.0000,0.0784,0.2300,0.5319,0.7312,0.4702,0.0000,0.0000
19,2012,-0.1311,0.0000,6.0000,0.0000,-0.0736,0.2523,0.5293,0.7372,-0.4414,0.0000,0.0000
19,2013,-0.0548,68.0000,9.0000,1.0000,0.0694,0.2457,0.5261,0.6541,0.6247,0.0694,4.7201
19,2014,0.0256,0.0000,8.0000,0.0000,-0.6139,0.2579,0.5235,0.6497,-4.9110,0.0000,0.0000
19,2015,-0.0923,36.0000,9.0000,1.0000,-0.3634,0.2950,0.5193,0.5305,-3.2704,-0.3634,-13.0815
19,2016,0.4581,0.0000,9.0000,0.0000,0.3718,0.2823,0.5155,0.6020,3.3461,0.0000,0.0000
19,2017,0.4654,0.0000,10.0000,0.0000,0.1175,0.2823,0.5155,0.6020,1.1753,0.0000,0.0000
24,2008,-0.2136,30.0000,1.0000,1.0000,-0.7213,0.0202,0.4269,1.7667,-0.7213,-0.7213,-21.6400
24,2009,0.2843,0.0000,1.0000,0.0000,0.5763,0.0159,0.4319,1.6256,0.5763,0.0000,0.0000
24,2010,-0.0593,0.0000,1.0000,1.0000,0.1410,0.0180,0.4346,1.5795,0.1410,0.1410,0.0000
24,2011,-0.2263,27.0000,1.0000,3.0000,0.0784,0.0191,0.4466,1.5494,0.0784,0.2351,2.1161
24,2012,-0.0065,11.2000,2.0000,2.0000,-0.0736,0.0177,0.4576,1.4784,-0.1471,-0.1471,-0.8240
